  PID  PPID  %CPU    RSS COMM
  665     1   0.0  20448 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  666     1   0.0  44032 /System/Library/CoreServices/talagentd
  667     1   0.0  65168 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  668     1   0.0  22720 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
  669     1   0.0  22352 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  670     1   0.0  20704 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  671     1   0.0  22768 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  673     1   0.0  28336 /usr/libexec/ContinuityCaptureAgent
  674     1   0.0  25184 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  675     1   0.0  29904 /System/Library/CoreServices/audioaccessoryd
  677     1   0.0  38064 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
  678     1   0.0 263712 /Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word
  679     1   0.0  21616 /usr/libexec/wifip2pd
  680     1   0.0  41456 /usr/libexec/transparencyd
  681     1   0.0  18768 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  682     1   0.0  46864 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  683     1   0.0  13952 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  684     1   0.0  20272 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  685     1   0.0  27664 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  686     1   0.0   6016 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  687     1   0.0  16928 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  688     1   0.0  25200 /usr/libexec/pkd
  689     1   0.0 448896 /Applications/Microsoft PowerPoint.app/Contents/MacOS/Microsoft PowerPoint
  690     1   0.0  17152 /usr/libexec/nearbyd
  691     1   0.0 142496 /usr/libexec/sharingd
  692     1   0.0  50832 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  693     1   0.0  50928 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  694     1   0.0 180160 /Applications/Typora.app/Contents/MacOS/Typora
  695     1   0.0  25232 /usr/libexec/nsurlsessiond
  696     1   0.0  23520 /System/Library/CoreServices/sharedfilelistd
  697     1   0.0   3568 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  698     1   7.3 559504 /Applications/Obsidian.app/Contents/MacOS/Obsidian
  700     1   0.0   6896 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  702     1   0.0  95584 /usr/sbin/usernoted
  703     1   0.0  31968 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  705     1   0.0  71632 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  706     1   0.0  57648 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
