id	title	source_page	pdf_url	status	reading_status
mlsys2025-cc8c6b9d89f7a898a29f58869b238e46	LServe: Efficient Long-sequence LLM Serving with Unified Sparse Attention	https://proceedings.mlsys.org/paper_files/paper/2025/hash/cc8c6b9d89f7a898a29f58869b238e46-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/cc8c6b9d89f7a898a29f58869b238e46-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-d1f9e4a9f109b6e8b75ed362736f22ec	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	https://proceedings.mlsys.org/paper_files/paper/2025/hash/d1f9e4a9f109b6e8b75ed362736f22ec-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/d1f9e4a9f109b6e8b75ed362736f22ec-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-d3cf1559a8795eb1ed2b3ad52409ac7d	MAS-ATTENTION: MEMORY-AWARE STREAM PROCESSING FOR ATTENTION ACCELERATION ON RESOURCE-CONSTRAINED EDGE DEVICES	https://proceedings.mlsys.org/paper_files/paper/2025/hash/d3cf1559a8795eb1ed2b3ad52409ac7d-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/d3cf1559a8795eb1ed2b3ad52409ac7d-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-d5a655b8b373737b4f2aea8f78e5e754	Training Ultra Long Context Language Model with Fully Pipelined Distributed Transformer	https://proceedings.mlsys.org/paper_files/paper/2025/hash/d5a655b8b373737b4f2aea8f78e5e754-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/d5a655b8b373737b4f2aea8f78e5e754-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-dbf02b21d77409a2db30e56866a8ab3a	FlashInfer: Efficient and Customizable Attention Engine for LLM Inference Serving	https://proceedings.mlsys.org/paper_files/paper/2025/hash/dbf02b21d77409a2db30e56866a8ab3a-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/dbf02b21d77409a2db30e56866a8ab3a-Paper-Conference.pdf	downloaded	selected_sections_read
mlsys2025-e01c431bbb83153632c0dcfaf8ccda0a	A Bring-Your-Own-Model Approach for ML-Driven Storage Placement in Warehouse-Scale Computers	https://proceedings.mlsys.org/paper_files/paper/2025/hash/e01c431bbb83153632c0dcfaf8ccda0a-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/e01c431bbb83153632c0dcfaf8ccda0a-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-e27ea0cd50b798ff8942caf9203f0992	COMET: Fine-grained Computation-communication Overlapping for Mixture-of-Experts	https://proceedings.mlsys.org/paper_files/paper/2025/hash/e27ea0cd50b798ff8942caf9203f0992-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/e27ea0cd50b798ff8942caf9203f0992-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-e2ec2530db26b54d0b3b060c1e4a1bda	Enabling Unstructured Sparse Acceleration on Structured Sparse Accelerators	https://proceedings.mlsys.org/paper_files/paper/2025/hash/e2ec2530db26b54d0b3b060c1e4a1bda-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/e2ec2530db26b54d0b3b060c1e4a1bda-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-f189e7580acad0fc7fd45405817ddee3	VoLUT: Efficient Volumetric streaming enhanced by LUT-based super-resolution	https://proceedings.mlsys.org/paper_files/paper/2025/hash/f189e7580acad0fc7fd45405817ddee3-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/f189e7580acad0fc7fd45405817ddee3-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-f37347375d8b54e3203e5d24aeb6c58c	FLStore: Efficient Federated Learning Storage for non-training workloads	https://proceedings.mlsys.org/paper_files/paper/2025/hash/f37347375d8b54e3203e5d24aeb6c58c-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/f37347375d8b54e3203e5d24aeb6c58c-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-f4f55846501f3336f293fd8b6de10770	TurboAttention: Efficient attention approximation for high throughputs llm	https://proceedings.mlsys.org/paper_files/paper/2025/hash/f4f55846501f3336f293fd8b6de10770-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/f4f55846501f3336f293fd8b6de10770-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-fbe2b2f74a2ece8070d8fb073717bda6	QServe:W4A8KV4 Quantization and System Co-design for Efficient LLM Serving	https://proceedings.mlsys.org/paper_files/paper/2025/hash/fbe2b2f74a2ece8070d8fb073717bda6-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/fbe2b2f74a2ece8070d8fb073717bda6-Paper-Conference.pdf	downloaded	abstract_screened
